Symbol,Name,Shares,AvgPrice
AAPL,Apple,1.12645,189.24
NVDA,NVIDIA,0.39946,432.33
VOO,Vanguard S&P 500 ETF,0.2124,404.71
LMT,Lockheed Martin Corp.,0.17821,443.75
CSCO,"Cisco Systems, Inc.",1.50838,54.37
ADBE,"Adobe, Inc.",0.1139,534.68
VTI,Vanguard Total Stock Market ETF,0.28244,217.25
VYM,Vanguard High Dividend Yield ETF,0.59778,105.32
COST,Costco Wholesale Corp.,0.09419,551.86
MSFT,Microsoft,0.15106,330.99
IEFA,iShares Core MSCI EAFE ETF,0.78181,66.93
GOOG,Alphabet,0.37719,132.35
CVX,Chevron Corp.,0.27695,159.96
CAVA,"Cava Group, Inc.",0.57736,41.64
CELH,"Celsius Holdings, Inc.",0.46251,59.09
TSLA,"Tesla, Inc.",0.187,267.22
